"chi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0.52,-9953.23472555221,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.53,-10022.7284554569,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.54,-10090.8184482716,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.55,-10157.5435737815,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.56,-10222.9424685038,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.57,-10287.0539313374,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.58,-10349.9165997842,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.59,-10411.5689858988,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.6,-10472.0494723405,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.61,-10531.3960374127,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.62,-10589.6465088582,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.63,-10646.8381344861,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.64,-10703.0078070485,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.65,-10758.1917365264,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.66,-10812.425554343,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.67,-10865.7439673681,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.68,-10918.1809638695,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.69,-10969.769391395,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.7,-11020.5412508384,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.71,-11070.5271318923,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.72,-11119.7561478502,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.73,-11168.256227979,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.74,-11216.0534657706,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.75,-11263.1724970503,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.76,-11309.6358691718,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.77,-11355.4642099327,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.78,-11400.6759874119,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.79,-11445.287420249,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.8,-11489.3122914965,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.81,-11532.7619569983,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.82,-11575.6451797136,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.83,-11617.9677265922,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.84,-11659.7324907779,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.85,-11700.9393773946,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.86,-11741.5850696854,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.87,-11781.6630645644,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.88,-11821.1632222967,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.89,-11860.0722204369,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.9,-11898.3730434555,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.91,-11936.0446819163,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.92,-11973.0625551642,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.93,-12009.398258346,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.94,-12045.0195956178,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.95,-12079.8902046337,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.96,-12113.9699099053,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.97,-12147.2143997031,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.98,-12179.5753235528,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.99,-12211.0004616722,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
1,-12241.4335886927,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
